record_id,first_name,last_name,gender,age,bday,role,crash_date,crash_hour,county,state,zip
1,,,M,19.0,2005-03-24,Passenger,2024-02-22,21,Westchester,NY,
2,Edward,Thompson,F,55.0,1969-09-04,Driver,2024-07-12,2,Queens,NY,14604.0
702,Edward,Lewis,M,68.0,1956-01-27,Driver,2024-10-05,1,Richmond,NY,
712,Barbara,Nguyen,M,31.0,1993-06-03,Driver,2024-09-28,2,Onondaga,NY,
3,Sandra,Harris,M,61.0,1963-04-22,Driver,2024-06-15,1,Kings,NY,11201.0
686,,Baker,F,53.0,1971-08-26,Driver,2024-02-18,10,New York,NY,
774,William,Thompson,F,33.0,1991-04-19,Driver,2024-03-21,16,,NY,10451.0
907,Edward,Perez,F,72.0,1952-06-26,Driver,2024-09-26,12,New York,NY,
4,Timothy,,F,18.0,2006-11-14,Driver,2024-11-01,2,New York,NY,10002.0
837,Carol,Harris,F,82.0,1942-08-18,Driver,2024-11-09,1,,NY,10001.0
5,Steven,Hill,M,70.0,1954-09-25,Driver,2024-09-28,0,Richmond,NY,10002.0
790,Kenneth,Baker,M,53.0,1971-10-05,Driver,2024-01-13,17,,NY,10451.0
804,John,Rodriguez,M,87.0,1937-04-22,Driver,2024-05-13,14,Nassau,NY,10002.0
6,Melissa,,M,76.0,,Driver,2024-08-19,3,,NY,
960,Kimberly,Moore,M,72.0,1952-04-11,Driver,2024-11-08,16,Westchester,NY,12207.0
7,Michael,Nelson,M,79.0,1945-12-02,Driver,2024-12-10,20,Suffolk,NY,10002.0
680,Matthew,Jones,F,18.0,2006-06-16,Driver,2024-10-11,14,Albany,NY,13202.0
803,Nancy,Hall,M,,1946-01-25,Driver,2024-02-28,10,Onondaga,NY,14604.0
852,Margaret,Young,F,36.0,1988-02-13,Driver,2024-04-23,22,Kings,NY,
879,John,Taylor,M,62.0,1962-12-03,Driver,2024-02-05,1,Westchester,NY,
8,Betty,Brown,M,22.0,2002-05-26,Driver,2024-08-20,9,New York,NY,
931,William,Perez,F,64.0,1960-08-22,Driver,2024-01-28,3,Queens,NY,
9,Donna,Hill,M,25.0,1999-10-17,Driver,2024-06-10,8,Kings,NY,10002.0
730,Laura,Lewis,F,20.0,2004-05-27,Driver,2024-07-25,3,Monroe,NY,
884,Deborah,Baker,M,58.0,1966-08-21,Passenger,2024-04-25,11,Bronx,NY,
10,Rebecca,Adams,M,82.0,1942-05-22,Driver,2024-02-23,4,Monroe,NY,
678,Joshua,Walker,F,95.0,1929-05-12,Driver,2024-12-30,8,Monroe,NY,
902,Betty,Moore,M,80.0,1944-05-24,Driver,2024-05-23,18,Nassau,NY,13202.0
11,Emily,Smith,M,35.0,1989-09-02,Driver,2024-07-08,18,Queens,NY,
